table_catalog,table_schema,table_name,column_name,ordinal_position,column_default,is_nullable,data_type,character_maximum_length,character_octet_length,numeric_precision,numeric_precision_radix,numeric_scale,datetime_precision,interval_type,interval_precision,character_set_catalog,character_set_schema,character_set_name,collation_catalog,collation_schema,collation_name,domain_catalog,domain_schema,domain_name,udt_catalog,udt_schema,udt_name,scope_catalog,scope_schema,scope_name,maximum_cardinality,dtd_identifier,is_self_referencing,is_identity,identity_generation,identity_start,identity_increment,identity_maximum,identity_minimum,identity_cycle,is_generated,generation_expression,is_updatable
nbp_2020_p23,platforma,admins,id,1,nextval('platforma.admins_id_seq'::regclass),NO,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,1,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,admins,userid,2,,YES,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,2,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,bought_courses,id,1,nextval('platforma.bought_courses_id_seq'::regclass),NO,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,1,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,bought_courses,studentid,2,,YES,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,2,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,bought_courses,courseid,3,,YES,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,3,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,bought_courses,datebought,4,now(),NO,date,,,,,,0,,,,,,,,,,,,nbp_2020_p23,pg_catalog,date,,,,,4,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,categories,id,1,nextval('platforma.categories_id_seq'::regclass),NO,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,1,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,categories,name,2,,NO,character varying,25,100,,,,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,varchar,,,,,2,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,category_courses,id,1,nextval('platforma.category_courses_id_seq'::regclass),NO,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,1,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,category_courses,courseid,2,,YES,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,2,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,category_courses,categoryid,3,,YES,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,3,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,certificates,id,1,nextval('platforma.certificates_id_seq'::regclass),NO,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,1,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,certificates,studentid,2,,YES,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,2,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,certificates,courseid,3,,YES,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,3,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,certificates,datecertified,4,now(),NO,date,,,,,,0,,,,,,,,,,,,nbp_2020_p23,pg_catalog,date,,,,,4,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,course_recommendations,id,1,nextval('platforma.course_recommendations_id_seq'::regclass),NO,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,1,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,course_recommendations,student1id,2,,YES,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,2,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,course_recommendations,student2id,3,,YES,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,3,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,course_recommendations,courseid,4,,YES,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,4,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,course_review,id,1,nextval('platforma.course_review_id_seq'::regclass),NO,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,1,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,course_review,studentid,2,,YES,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,2,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,course_review,courseid,3,,YES,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,3,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,course_review,grade,4,,YES,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,4,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,course_review,datereview,5,now(),NO,date,,,,,,0,,,,,,,,,,,,nbp_2020_p23,pg_catalog,date,,,,,5,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,courses,id,1,nextval('platforma.courses_id_seq'::regclass),NO,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,1,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,courses,instructorid,2,,YES,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,2,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,courses,name,3,,NO,character varying,100,400,,,,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,varchar,,,,,3,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,courses,description,4,,YES,character varying,,1073741824,,,,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,varchar,,,,,4,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,documents,id,1,nextval('platforma.documents_id_seq'::regclass),NO,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,1,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,documents,courseid,2,,YES,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,2,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,documents,name,3,,NO,character varying,50,200,,,,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,varchar,,,,,3,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,documents,path,4,,NO,character varying,,1073741824,,,,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,varchar,,,,,4,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,forums,id,1,nextval('platforma.forums_id_seq'::regclass),NO,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,1,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,forums,description,2,,NO,character varying,,1073741824,,,,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,varchar,,,,,2,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,forums_instructors,id,1,nextval('platforma.forums_instructors_id_seq'::regclass),NO,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,1,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,forums_instructors,forumid,2,,YES,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,2,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,forums_instructors,instructorid,3,,YES,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,3,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,forums_instructors,comment,4,,NO,character varying,,1073741824,,,,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,varchar,,,,,4,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,forums_instructors,datecomment,5,now(),NO,date,,,,,,0,,,,,,,,,,,,nbp_2020_p23,pg_catalog,date,,,,,5,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,forums_students,id,1,nextval('platforma.forums_students_id_seq'::regclass),NO,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,1,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,forums_students,forumid,2,,YES,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,2,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,forums_students,studentid,3,,YES,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,3,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,forums_students,comment,4,,NO,character varying,,1073741824,,,,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,varchar,,,,,4,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,forums_students,datecomment,5,now(),NO,date,,,,,,0,,,,,,,,,,,,nbp_2020_p23,pg_catalog,date,,,,,5,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,instructors,id,1,nextval('platforma.instructors_id_seq'::regclass),NO,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,1,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,instructors,userid,2,,YES,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,2,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,instructors,age,3,,NO,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,3,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,instructors,country,4,,NO,character varying,15,60,,,,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,varchar,,,,,4,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,instructors,adminid,5,,YES,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,5,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,prices,id,1,nextval('platforma.prices_id_seq'::regclass),NO,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,1,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,prices,courseid,2,,YES,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,2,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,prices,price,3,9,NO,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,3,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,prices,datestart,4,now(),NO,date,,,,,,0,,,,,,,,,,,,nbp_2020_p23,pg_catalog,date,,,,,4,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,prices,dateend,5,,YES,date,,,,,,0,,,,,,,,,,,,nbp_2020_p23,pg_catalog,date,,,,,5,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,students,id,1,nextval('platforma.students_id_seq'::regclass),NO,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,1,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,students,userid,2,,YES,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,2,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,students,age,3,,NO,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,3,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,students,country,4,,NO,character varying,15,60,,,,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,varchar,,,,,4,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,students,tokens,5,50,NO,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,5,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,users,id,1,nextval('platforma.users_id_seq'::regclass),NO,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,1,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,users,firstname,2,,NO,character varying,20,80,,,,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,varchar,,,,,2,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,users,lastname,3,,NO,character varying,30,120,,,,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,varchar,,,,,3,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,users,sex,4,,NO,character,1,4,,,,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,bpchar,,,,,4,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,users,email,5,,NO,character varying,40,160,,,,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,varchar,,,,,5,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,users,username,6,,NO,character varying,53,212,,,,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,varchar,,,,,6,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,users,password,7,,NO,character varying,20,80,,,,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,varchar,,,,,7,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,videos,id,1,nextval('platforma.videos_id_seq'::regclass),NO,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,1,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,videos,courseid,2,,YES,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,2,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,videos,name,3,,NO,character varying,100,400,,,,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,varchar,,,,,3,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,videos,pathvideo,4,,NO,character varying,,1073741824,,,,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,varchar,,,,,4,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,videos,pathimg,5,,NO,character varying,,1073741824,,,,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,varchar,,,,,5,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,watched_courses,id,1,nextval('platforma.watched_courses_id_seq'::regclass),NO,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,1,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,watched_courses,studentid,2,,YES,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,2,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,watched_courses,courseid,3,,YES,integer,,,32,2,0,,,,,,,,,,,,,nbp_2020_p23,pg_catalog,int4,,,,,3,NO,NO,,,,,,NO,NEVER,,YES
nbp_2020_p23,platforma,watched_courses,datefinished,4,,YES,date,,,,,,0,,,,,,,,,,,,nbp_2020_p23,pg_catalog,date,,,,,4,NO,NO,,,,,,NO,NEVER,,YES
